dataset	data_type	demultiplexed	barcodes_removed	primers_trimmed	quality_method	quality_cutoff	length_trim	data_source	metadata_source
cdi_youngster	fastq	Yes	No	No	-fastq_truncqual	25	200	SRA study SRP040146	email authors
hiv_noguerajulian	fastq	Yes	No	Yes	-fastq_truncqual	25	200	SRA study SRP068240	SRA
hiv_lozupone	fastq	Yes	No	No	-fastq_truncqual	25	150	ENA study PRJEB4335	Qiita study 1700
t1d_alkanani	fastq	Yes	No	No	-fastq_maxee	2	200	email authors	email authors
edd_singh	fasta	No					200	http://dx.doi.org/10.6084/m9.figshare.1447256	Additional File 4
crc_chen	fastq	No	Yes	Yes	-fastq_truncqual	25	200	SRA study SRP009633	SRA sample description
asd_son	fastq	Yes	No	Yes	-fastq_truncqual	25	200	SRA study SRP057700	SRA
crc_zeller	fastq	Yes	No	No	-fastq_truncqual	25	200	ENA study PRJEB6070	Table S1 and S2
ra_scher	fastq	Yes	No	Yes	-fastq_truncqual	25	200	SRA study SRP023463	SRA
ibd_papa	fasta	No					200	email authors	email authors
hiv_dinh	fastq	Yes	No	No	-fastq_truncqual	25	200	SRA study SRP039076	SRA
ob_zhu	fasta	No					200	MG-RAST, study mgp1195 (same data as nash_zhu)	MG-RAST
crc_baxter	fastq	Yes	No	No	-fastq_truncqual	25	250	SRA study SRP062005	SRA
ob_turnbaugh	fasta	No					200	https://gordonlab.wustl.edu/NatureTwins_2008/TurnbaughNature_11_30_08.html	Table S1
crc_zackular	fastq	Yes	No	No	-fastq_truncqual	25	200	mothur.org/MicrobiomeBiomarkerCRC	mothur.org
cdi_schubert	fastq	No	No	Yes	-fastq_truncqual	25	150	mothur.org/CDI_MicrobiomeModeling	mothur.org
par_scheperjans	fastq	Yes	No	Yes	-fastq_truncqual	25	200	ENA study PRJEB4927	sample names
mhe_zhang	fastq	Yes	No	Yes	-fastq_truncqual	25	200	SRA study SRP015698	SRA
crc_wang	fastq	No	Yes	Yes	-fastq_truncqual	25	150	SRA study SRP005150	SRA study description
ibd_willing	fastq	No	No	Yes	-fastq_maxee	2	200	email authors	email authors
ibd_morgan	fastq	Yes	No	Yes	-fastq_truncqual	25	200	SRA study SRP015953	http://huttenhower.sph.harvard.edu/ibd2012
ibd_gevers	fastq	Yes	No	No	-fastq_truncqual	25	200	SRA study SRP040765	Table S2
ob_zupancic	fastq	Yes	No	No	-fastq_truncqual	25	200	SRA study SRP002465	SRA
nash_zhu	fasta	No					200	MG-RAST, study mgp1195	MG-RAST
cdi_vincent	fastq	Yes	No	Yes	-fastq_truncqual	20	101	email authors	email authors
ob_ross	fastq	Yes	No	No	-fastq_truncqual	25	150	SRA study SRP053023	SRA
t1d_mejialeon	fastq	No	Yes	Yes	-fastq_truncqual	25	150	email authors	email authors
ob_goodrich	fastq	Yes	No	No	-fastq_truncqual	25	200	ENA studies PRJEB6702 and PRJEB6705	ENA
asd_kang	fastq	Yes	No	Yes	-fastq_truncqual	25	200	SRA study SRP017161	SRA
nash_wong	fastq	No	No	No	-fastq_truncqual	25	200	SRA study SRP011160	SRA
