Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,,,
TwinsUK,OTU,4349261,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,2.53636E-07,3.84258E-05,Lean,0.0465,0.268487968,(0?0.38),3.89E-13,(0?0.22),0.731512032,(0.62?0.86),0.293830967,0.104401633,0.378858668,,,
TwinsUK,Class,k__Bacteria.p__Tenericutes.c__RF3,NA,2.24639E-07,3.84258E-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37E-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,
TwinsUK,Order,k__Bacteria.p__Tenericutes.c__RF3.o__ML615J.28,NA,2.24639E-07,3.84258E-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37E-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,
TwinsUK,Family,k__Bacteria.p__Tenericutes.c__RF3.o__ML615J.28.f__,NA,2.24639E-07,3.84258E-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37E-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,
TwinsUK,Genus,k__Bacteria.p__Tenericutes.c__RF3.o__ML615J.28.f__.g__,NA,2.24639E-07,3.84258E-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37E-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,
TwinsUK,OTU,4377149,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,7.09332E-08,3.84258E-05,Lean,0.728,4.38E-13,(0?0),0.128660392,(0?0.22),0.871339608,(0.78?0.97),0.130600107,0.128982623,0.003234968,,,
TwinsUK,OTU,300620,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,5.12213E-07,6.65145E-05,Lean,0.182,0.172888264,(0?0.3),0.004560478,(0?0.21),0.822551258,(0.7?0.96),0.182977743,0.088285972,0.189383542,,,
TwinsUK,Phylum,k__Bacteria.p__Tenericutes,NA,6.62894E-07,7.53214E-05,Lean,0.0066,0.264666897,(0.06?0.38),9.04E-14,(0?0),0.735333103,(0.62?0.86),0.320917449,0.05291663,0.536001637,,,
TwinsUK,OTU,173876,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,9.62109E-07,9.7173E-05,Lean,0.6555,6.39E-12,(0?0),0.11308849,(0?0.21),0.88691151,(0.76?0.98),0.105870954,0.120384759,-0.02902761,,,
TwinsUK,Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae,NA,1.38817E-06,0.000126184,Lean,0.001,0.381940264,(0.21?0.49),4.20E-13,(0?0.11),0.618059736,(0.51?0.74),0.437752545,0.090711647,0.694081797,,,
