,species,group_lower,group_higher,p_value
0,Acetivibrio_cellulolyticus,HIV,control,0.001
1,Acinetobacter_johnsonii,control,HIV,0.001
2,Aeromonas_hydrophila,HIV,control,0.023
3,Anaerostipes_hadrus,HIV,control,0.001
4,Asaccharobacter_celatus,HIV,control,0.001
5,Bacteroides_galacturonicus,HIV,control,0.047
6,Bacteroides_massiliensis,HIV,control,0.001
7,Barnesiella_intestinihominis,HIV,control,0.010
8,Barnesiella_viscericola,HIV,control,0.046
9,Bifidobacterium_indicum,HIV,control,0.031
10,Blautia_faecis,HIV,control,0.002
11,Blautia_glucerasea,HIV,control,0.011
12,Clostridium_aurantibutyricum,HIV,control,0.025
13,Clostridium_chauvoei,HIV,control,0.043
14,Clostridium_clariflavum,HIV,control,0.006
15,Clostridium_hiranonis,HIV,control,0.005
16,Clostridium_innocuum,HIV,control,0.002
17,Clostridium_intestinale,HIV,control,0.004
18,Clostridium_leptum,HIV,control,0.001
19,Clostridium_lituseburense,HIV,control,0.020
20,Clostridium_methylpentosum,HIV,control,0.011
21,Clostridium_papyrosolvens,HIV,control,0.000
22,Clostridium_polysaccharolyticum,HIV,control,0.021
23,Clostridium_quinii,HIV,control,0.008
24,Clostridium_ruminantium,HIV,control,0.017
25,Clostridium_sordellii,HIV,control,0.006
26,Clostridium_sporosphaeroides,HIV,control,0.011
27,Cronobacter_muytjensii,control,HIV,0.025
28,Enterobacter_aerogenes,control,HIV,0.025
29,Coprococcus_catus,HIV,control,0.025
30,Corynebacterium_bovis,HIV,control,0.019
31,Enterococcus_durans,control,HIV,0.007
32,Dorea_longicatena,HIV,control,0.004
33,Enterococcus_faecalis,control,HIV,0.023
34,Enterococcus_raffinosus,control,HIV,0.036
35,Streptococcus_anginosus,control,HIV,0.038
36,Clostridium_tertium,control,HIV,0.046
37,Ethanoligenens_harbinense,HIV,control,0.006
38,Eubacterium_coprostanoligenes,HIV,control,0.000
39,Eubacterium_eligens,HIV,control,0.007
40,Eubacterium_hallii,HIV,control,0.019
41,Comamonas_testosteroni,control,HIV,0.025
42,Eubacterium_ramulus,HIV,control,0.007
43,Eubacterium_rectale,HIV,control,0.011
44,Eubacterium_ruminantium,HIV,control,0.019
45,Faecalibacterium_prausnitzii,HIV,control,0.001
46,Fusicatenibacter_saccharivorans,HIV,control,0.002
47,Gemmiger_formicilis,HIV,control,0.006
48,Gracilibacter_thermotolerans,HIV,control,0.001
49,Intestinimonas_butyriciproducens,HIV,control,0.002
50,Natranaerovirga_pectinivora,HIV,control,0.021
51,Roseburia_faecis,HIV,control,0.014
52,Ruminococcus_albus,HIV,control,0.042
53,Ruminococcus_bromii,HIV,control,0.002
54,Ruminococcus_callidus,HIV,control,0.016
55,Ruminococcus_champanellensis,HIV,control,0.033
56,Ruminococcus_faecis,HIV,control,0.045
57,Ruminococcus_flavefaciens,HIV,control,0.001
58,Ruminococcus_torques,HIV,control,0.045
59,Selenomonas_ruminantium,HIV,control,0.008
60,Slackia_heliotrinireducens,HIV,control,0.031
61,Staphylococcus_equorum,HIV,control,0.033
62,Eubacterium_limosum,control,HIV,0.035
63,Subdoligranulum_variabile,HIV,control,0.025
64,Turicibacter_sanguinis,control,HIV,0.007
