study	taxonomic_level	taxa_or_feature	no_difference	group_lower	group_higher	qval	method	multi_comp	multi_comp_method
asd_kb		alpha_diversity		asd	control		chao1		
asd_kb	genus	f__Veillonellaceae;g__		asd	control	0.04	mann_whitney	yes	unk
asd_kb	genus	f__Prevotellaceae;g__		asd	control	0.04	mann_whitney	yes	unk
asd_kb	genus	f__Lachnospiraceae;g__Coprococcus		asd	control	0.06	mann_whitney	yes	unk
asd_kb	genus	f__Prevotellaceae;g__		asd	control	0.06	mann_whitney	yes	unk
asd_kb	genus	f__Lactobacillaceae;g__Lactobacillus		control	asd	0.09	mann_whitney	yes	unk
asd_kb	genus	f__Alcaligenaceae;g__Sutterella		asd	control	0.096	mann_whitney	yes	unk
asd_kb	genus	f__Porphyromonadaceae;g__Butyricimonas		asd	control	0.139	mann_whitney	yes	unk
asd_kb	genus	f__Prevotellaceae;g__Paraprevotella		asd	control	0.139	mann_whitney	yes	unk
asd_kb	genus	f__Lachnospiraceae;g__Roseburia		asd	control	0.139	mann_whitney	yes	unk
asd_kb	genus	f__Incertae_Sedis_XII;g__Fusibacter		asd	control	0.139	mann_whitney	yes	unk
asd_kb	genus	f__Staphylococcaceae;g__Staphylococcus		asd	control	0.267	mann_whitney	yes	unk
asd_kb	genus	f__Veillonellaceae;g__Succinispira		asd	control	0.267	mann_whitney	yes	unk
asd_kb	genus	f__Porphyromonadaceae;g__unknown_genus		asd	control	0.267	mann_whitney	yes	unk
asd_kb	genus	f__Eubacteriaceae;g__Eubacterium		control	asd	0.277	mann_whitney	yes	unk
asd_kb	genus	f__Incertae_Sedis_XI;g__Parvimonas		asd	control	0.32	mann_whitney	yes	unk
asd_kb	genus	f__Aerococcaceae;g__Abiotrophia		no_med_diff	no_med_diff	0.32	mann_whitney	yes	unk
asd_kb	genus	f__Desulfovibrionaceae;g__Desulfovibrio		asd	control	0.32	mann_whitney	yes	unk
asd_kb	genus	f__Peptostreptococcaceae;g__Peptostreptococcus		no_med_diff	no_med_diff	0.32	mann_whitney	yes	unk
asd_kb	genus	f__Coriobacteriaceae;g__Olsenella		no_med_diff	no_med_diff	0.32	mann_whitney	yes	unk
asd_kb	genus	f__Enterobacteriaceae;g__Providencia		no_med_diff	no_med_diff	0.32	mann_whitney	yes	unk
asd_kb	genus	f__Coriobacteriaceae;g__Eggerthella		control	asd	0.32	mann_whitney	yes	unk
asd_kb	genus	f__Lachnospiraceae;g__Dorea		asd	control	0.32	mann_whitney	yes	unk
asd_kb	species	f__Prevotellacaea;g__Prevotella;s__Copri		asd	control		not_univariate		
asd_kb		bacteroides_to_prevotella_ratio		asd	control		not_univariate		
cdi_youngster		alpha_diversity		cdi	control	<0.001	mann_whitney	shannon	
cdi_schubert		alpha_diversity		cdi	control	< 0.0001	DunnÕs multiple-comparison test on AMOVA	inverse_simpson	
cdi_schubert		alpha_diversity		nonCDI	control	< 0.0001	DunnÕs multiple-comparison test on AMOVA	inverse_simpson	
cdi_schubert	genus	g__Bacteroides		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Alistipes		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Prevotella		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Bacteroides		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Bacteroides		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Bacteroides		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	f__Ruminococcaceae;g__		cdi	control		kw_lefse	unk	unk
cdi_schubert	genus	g__Alistipes		cdi	control		kw_lefse	unk	unk
