	mhe_zhang	hiv_noguerajulian	hiv_lozupone	t1d_alkanani	edd_singh	crc_chen	asd_son	cdi_youngster	crc_zeller	ra_scher	ibd_papa	hiv_dinh	ob_zhu	crc_baxter	ob_turnbaugh	crc_zackular	cdi_schubert	par_scheperjans	crc_wang	ibd_willing	ibd_morgan	ibd_gevers	ob_zupancic	nash_zhu	cdi_vincent	ob_ross	t1d_mejialeon	ob_goodrich	asd_kang	nash_wong
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium									0.889147239192																					
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter		-0.660669359395	0.155605799043	0.567549643299					0.636672114729					0.0522351609335		1.0	-0.0637200639792				0.618639759543	-0.023927190006			-0.459491611938			-0.0505482347343		
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera		0.285241603772							-0.580330017666					-0.666544940318		-0.78200289075												-0.855629771295		
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus									0.580330017666					0.637344824926		-0.78200289075												-0.432581059626		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum																									0.459491611938					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces		0.55143752571	0.20551717682		0.680423768853			0.692093483543	0.693025104725		0.335764120417		0.7810889178	0.552228056223		-1.0	0.00122274968798					0.809554275097		0.154492995764	0.209989457731	-0.667152967175		0.212960936615		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium													0.312906261846											0.154492995764						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus			0.512518344545										0.0862648325028	0.857300645473		0.951867750001								0.0180741851023	-0.642606874713			-0.719248263656		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum			0.119962257278					0.731941613375	-0.826377405239				0.0342714118065	-0.972228667827		-0.817272192238						0.652009376481		0.00600936637482	0.345679957486			-0.948335917392		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium									-0.602200705651				-0.85073988616			-0.967198466141								-0.348045632569						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium			0.881631000519					0.0	-0.615337207603				0.0753018134209	-0.532523663572		-0.78200289075	-0.703288545191					-0.715559128838		-0.0496908206945	0.0564469113199			-0.291831925904		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium									0.737761704802																					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia			0.258052370671											-0.830593552919			0.914534271666													
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus									0.299285697509																					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter																	0.0544107920077								0.977206399476					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria									0.154271412921																					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus									0.580330017666																					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia									-0.602200705651																0.459491611938					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.637587428596	0.122666855569			0.209910730173			0.34190091215	-0.842441024865					0.532523663572		1.0						0.644039631745						0.272903358505		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus																									0.459491611938					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium					0.112598474599											-0.78200289075	0.703288545191									-0.784888756169				
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia									-0.284404680856					0.230354878544								0.695809141331						-0.212960936615		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium		0.895566140417	-0.897080190219	0.762108353354	-7.66945470978e-07	-0.5096350838	-0.901020228435	-0.215581620847	-0.253422466774	0.795242911437	0.41061670207		-0.230485226729	-0.829981744934	0.378975976593	-0.951867750001	-0.494409808931		0.339579931298	0.948912465007	0.813189898901	0.900846412684		-0.0180741851023	0.0564469113199	-0.784888756169	0.408394431643	0.0505482347343	0.856985240102	-0.533015049071
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella		0.669164303281											0.312906261846	-0.467668297802										0.154492995764						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia								0.731941613375	0.799002474677					0.340708661864		0.881369035681						0.521462589518						0.754018655106		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia		0.919490622464			-0.00630706802104													-0.839118009089												
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Asaccharobacter		0.864513450037																												
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium		0.895566140417	0.578878176095		0.362203146794			1.0	0.842441024865		0.335764120417		0.87319303906	-0.781066243708		0.951867750001	0.360474050435					0.801636895991		0.809566702519	0.75069707456			0.719248263656		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella		0.887204954081	-1.0	0.633234365857	3.4693330182e-05	0.5096350838	0.949201890024	0.399247924644	-0.444963594398		0.347213836642		-0.280363583337	0.0206998315896	0.00314278050625	-0.914667990776				-0.467452302612		-0.023927190006	-0.967348487294	-0.0956387981082		0.784888756169		0.834846805603	-0.713415282118	
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium																													0.713415282118	
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Cryptobacterium																						0.790962772758								
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella		-0.393891267978		0.731072258254	-0.0244005931557	-0.603219537368	-0.933311318933	0.250695180282	0.990508003765		0.775284917851		0.422067386775	0.293819065199	-0.0961644452391	1.0	0.0121381899204	-0.98593640404			-0.283640999332	0.642537097878	-0.967348487294	0.297375558741		-0.667152967175		0.334125935013		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Enterorhabdus		-0.24808986673	0.095748667821		-9.15538382254e-06			-0.116248071347						0.293819065199		-1.0						0.790962772758						-0.834846805603		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Gordonibacter		0.531283131819			-0.201997062776				0.362991089359	-0.535230979836				-0.733097775557	-0.00455983870022	1.0						-0.352402720134						0.272903358505		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella		-0.223005328346						-0.665516316746	0.0971538913055				0.123927459738	-0.830593552919	0.0902848245522	-0.78200289075				0.923058363697		-0.485434300854		0.0414495578633		0.897173911806		-0.272903358505		
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Paraeggerthella																0.78200289075	-0.914534271666													
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia		-0.276944075391		0.531528537207	-0.00271336085414									0.82776880828	-0.356977571344	-0.78200289075				0.923058363697		-0.790962772758				-0.784888756169		0.719248263656	0.219268171507	
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Anaerorhabdus		0.0261063158614							-0.444963594398					0.830101268453								0.644039631745								
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.671012211295	0.0058478413564	-0.0156450419792	-0.531528537207	-0.140684560964	-0.476738937614	0.901020228435	-0.11053008459	0.230601312872	-0.535184831511	-0.466928619673	-0.725782053794	0.818454634098	-0.532523663572	-0.333419578161	-0.78200289075	-5.46048817892e-05	0.839118009089	-0.0237735428996	-0.923058363697	0.253084013957	0.801636895991	-0.932148346508	0.771388660856	-0.0810347624915	0.902818268301	0.267498091314	0.552110346105	-0.915134359554	-0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_incertae_sedis;g__Phocaeicola	0.637587428596								-0.602200705651																			-0.973047367516		
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae;g__Anaerophaga									0.71173763116					0.532523663572		0.78200289075												-0.834285323221		
