	cdi_youngster	hiv_noguerajulian	hiv_lozupone	t1d_alkanani	edd_singh	asd_son	crc_zeller	liv_zhang	ibd_papa	ob_zhu	crc_baxter	cdi_schubert	par_scheperjans	crc_wang	ibd_gevers	nash_zhu	cdi_vincent	ob_ross	asd_kang	art_scher	crc_chen	ob_goodrich	hiv_dinh	noncdi_schubert	ibd_morgan	ob_zupancic	ob_turnbaugh	t1d_mejialeon	ibd_willing	nash_wong
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	10.3560492943	0.423551801944	0.662429180944		5.222959503		1.27169001255	3.47078878396	10.3560492943	10.3560492943	5.06330220365	8.66276748374	10.3560492943	-0.980145416755	3.11879840126	10.3560492943	-9.20457144271	-4.36654200543			1.53264932578	3.76170817789	4.11467121097	5.26354530865				0.753039137092	5.53237447095	0.203230637578
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium			5.87137340851		10.3560492943					10.3560492943					10.3560492943	0.0														
k__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis	10.3560492943	0.885771889167	3.07554352788		-4.37762523004	0.0695815546901	0.963357797841				3.63969300789	-1.836643698	-0.0493346081688					-2.03919511718		10.3560492943		-1.03147198622		-2.9967845086				10.3560492943		
k__Bacteria;p__Lentisphaerae;c__Oligosphaeria;o__Oligosphaerales;f__Oligosphaeraceae;g__Oligosphaera		-1.82574323658																												
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita		-1.34608669596				-0.420718996736														10.3560492943										
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	6.78280705203	1.32333254818	1.42396187287	3.29058426904	-1.00211924359	1.40897289318	2.11350847001		-0.62497844609	-1.28030164428	0.237623357196	2.47058181928	2.28586153626		-0.73857261559	-1.50308371039	-0.745735632475	1.63301475656	0.851610725484	-2.02491571009	0.487436831484	-0.211955985411		1.87442498692	-1.54265723354	0.907801245132	-0.183416260837	10.3560492943		-12.2039693372
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Parvimonas	10.3560492943	0.135520102067	10.3560492943		10.3560492943		0.0472605821957		10.3560492943	10.3560492943	5.71154020459	7.26619529339			3.33893296276	10.3560492943	-3.01916356597				0.559461780438	1.71775791183		7.15700770121	10.3560492943					
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Peptoniphilus	10.3560492943		3.19883553757		2.92781567095		-1.31640287084		10.3560492943	2.93087690154	4.75301763171	1.62785505403			1.11000243727	3.37310539384	-2.42845491337		10.3560492943			1.50629879843		4.95123390632						
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Incertae_Sedis_XI;g__Murdochiella				10.3560492943			-2.03175663796			-0.667316412419						-0.596232550747	-4.5836629514					0.734808387032								
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Anaerococcus	10.3560492943		1.81093324462		2.32197514589		0.453984670467			2.72642407948	2.52559692175	3.96214001971			4.68409534401	2.96097359268	-2.13868130843				-3.89012627286	3.53175629538		2.38504400825						
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Finegoldia	2.26355161441	0.0826265875507	2.03652390671		4.46723053805		-0.159376673588			6.79480064267	-0.712205195642	2.54527546276			10.3560492943	6.63283977417	-3.19239654826					2.52134399062		5.32719947654						
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Gallicola										1.61851679206						2.00160011962														
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	3.25348514531	2.6797991424	-2.20213754092		-1.67533658108	0.494227690535	1.07187224391		-1.34963994833		-0.332241416462		-0.0188733376873		-1.03749211258			-0.26721327086	-0.906620579696	0.288807180488		0.154267583336			0.199704236196		-0.0346234398861			
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	0.423190934935	-0.0129153534716	-1.49569689749	3.63217623018	1.08169074653	-0.792062700251	-0.119055047846		1.8924471791	-0.223702171996	-0.73147692117	-1.04486464189	-0.509038832789	-0.213584758182	-0.466252047579	-2.14519854933	1.34551419341	-1.05789698518	1.03952857524	-0.964493096997	2.14409714903	0.352893409556		-1.23266242717	0.0967261970903	-0.984415104514	-1.03920838024	10.3560492943	-0.79724657854	
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	-3.0732155078	-0.964474909218	2.06253715586	10.3560492943	-0.30371784146	-1.13314581656	-2.0108651246		3.68112251064		1.55807526974	-3.51998784737	-0.988618555715		-1.02574452411			0.87311597497	-12.2039693372	2.68573927181		0.270437502991	3.26872822697	-1.5800945686	2.75008334549	1.01812162752	1.46669911926	2.93041162783	-0.276113789421	
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus	-3.27870554637	-0.127669097418	-0.0176891111384		-0.734243199505	1.12310998256	0.796850012773				-0.392567347616	0.529756476173	0.353974037747		-2.89778876019		3.63803729853	-1.4296504021	-2.83679204695	-4.43534321482		-0.505273271032	2.56873807595	-1.10302692058	-0.412871441813		-2.24389301344	2.00622051082		
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII	2.88870139502	0.267338780581	-1.35720977006	1.46119059362	0.804474149987	-0.784793456643	0.780903242555	0.994700573037	-0.154581068822		-0.995083090068	1.83260519223	1.04191399298	0.182546759447	0.622218824702		2.31582724018	0.209095308366	1.21847878257	-0.543076053781	-0.72410157455	-0.00292564794675	2.50987941433	0.984108344155	0.0437042562473	-0.805215830896	-1.27751538951	1.17790188678		
